[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/lhjf/getAreaDistribution]}" onto public com.software.model.ResultModel com.software.controller.LhjfController.getLhjfTjdqAjCount(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/login],methods=[GET]}" onto public com.software.model.ResultModel com.software.controller.LoginController.login(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/getFy],methods=[GET]}" onto public java.util.List<com.software.model.FyModel> com.software.controller.LoginController.getFy()
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorYearAjCount]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorYearAjCount(javax.servlet.http.HttpServletRequest)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorZmfb]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorZmfb(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorDyfb]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorDyfb(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorBgrxb]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorBgrxb(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorWlaj]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorWlaj(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorBgrAge]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorBgrAge(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorSszmRange1]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorSszmRange1(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorSszm]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorSszm(javax.servlet.http.HttpServletRequest)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/getAjsl]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.getAjsl(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/getBmslLa]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.getBmslLa(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/word]}" onto public void com.software.controller.MinorfzController.exportWord(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/getBmslAvg]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.getBmslAvg(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/getBmslJa]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.getBmslJa(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorWhcd]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorSszmWhcd(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorSszmRange2]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorSszmRange2(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/yqtx]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.yqtx(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:581] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/wcnfz/minorWlrk]}" onto public com.software.model.ResultModel com.software.controller.MinorfzController.minorSszmWlrk(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[17:47:54:589] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getAjCount]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.count(javax.servlet.http.HttpServletRequest)
[17:47:54:589] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/shfz/getBgrWhcd]}" onto public com.software.model.ResultModel com.software.controller.ShfzController.bgrWhcd(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
